Title,Company,Expereince,Salary,Location,Qualification,Posted
CN - Comms & Media - Non Networks - Manager,Accenture,8-12 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Certification profession in PSM / CSM/SAFe / ICP-ACCShould have understanding of lean c...,6 Days Ago
Sr. Java Full Stack Developer_ Tech Mahindra_ PAN India,Tech Mahindra,7-11 Yrs,25-30 Lacs PA,"Hybrid - Noida, Uttar Pradesh, Hyderabad/Secunderabad, Pune, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Must Have: Years of Experience: 7+ Years Min 2 + years Angular framework experienceExpe...,2 Days Ago
Security Delivery Analyst,Accenture,2-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR"," Required Relevant skill Experience: Location: Bengaluru, Chennai, Delhi / NCR, Hyderaba...",2 Days Ago
Sr. Angular Developer,Wipro,6-10 Yrs,7-14 Lacs PA,"New Delhi, Delhi, Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Requirements: Bachelors degree in Computer Science or a related field (or equivalent wo...,3 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core S4 - 09,Accenture,4-8 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Experience in any of S4HANA functionalities: EWM / TM/PP / SD/MM / PM,4 Days Ago
Data Governance-Data Management,Capco,7-12 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Experience required: 7+ years . Notice Period: Immediate to 1 Month,3 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core S4 Consultant - 09,Accenture,4-8 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Experience in any of S4HANA functionalities: EWM/ TM/ PP/ SD/ MM/ PM,4 Days Ago
CN - Comms & Media - Private Networks - Senior Manager,Accenture,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Delhi / NCR"," Experience in use case identification, prioritization, and monetization for Private net...",4 Days Ago
Informatica IICS,Capgemini,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Roles and Responsibilities Informatica IDMC ArchitectConsulting backgroundKnows all ser...,4 Days Ago
Sap Abap Consultant,Wipro,7-12 Yrs,Not disclosed,"Hybrid - Bhubaneswar, Odisha, Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Minimum relevant 7+years of experience required in SAP ABAP. . Odata experience is mand...,4 Days Ago
"Senior Biostatistician
",IQVIA,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"," Requires advanced knowledge of job area, and broad knowledge of a other related job are...",4 Days Ago
Aws Data Engineer,Capgemini,8-13 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Role & responsibilities Evaluating existing data systems, the data structures, relation...",3 Days Ago
SAP Ariba Cloud Integration Gateway CIG Application Lead,Accenture,6-8 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Educational Qualification : a: Bachelors Degree in engineering or Science Technical Exp...,4 Days Ago
CN - Strategy - MC - SC&O - SCM - Kinaxis - 09,Accenture,2-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru", Involve in supply chain planning process and requirement discussions with the client to...,1 Day Ago
CN - Strategy - MC- SC&O - S2P Tech & Org- S&P Business Solutions - 09,Accenture,2-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru", Sourcing and Procurement Consultant - Supply Chain ManagementFind endless opportunities...,1 Day Ago
Associate,PwC,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"," Solid knowledge and experience of supervised, unsupervised machine learning algorithms....",2 Days Ago
Data Engineer - Senior Associate - P&T Labs,PwC,6-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru", Knowledge of batch and streaming data processing techniques . Understanding of the Data...,1 Day Ago
Data Engineer - Manager - P&T Labs,PwC,10-13 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru", Knowledge of batch and streaming data processing techniques . Understanding of the Data...,1 Day Ago
Scrum Master - Senior Associate - P&T,PwC,6-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"," Creating a culture where Agile methodology is understood and in place, inside the Scrum...",1 Day Ago
AEM DEVELOPER,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru", Certification on Adobe Certified Professional - Adobe Experience Manager Developer will...,1 Day Ago
EDR professional,Capgemini,4-9 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)", Supports Endpoint Detection and Response (EDR) applications from an operational capacit...,1 Day Ago
Oracle Epm Consultant-Edmcs,PwC,3-8 Yrs,Not disclosed,"Kolkata, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Technical RequirementsEnterprise Data Management Cloud (EDMCS)Experience with Master Da...,2 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core Oracle - 09,Accenture,4-8 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru", Supply Chain Digital Strategy CoE | ORACLE Consultant - Supply Chain ManagementFind end...,6 Days Ago
Birlasoft is hiring Generative AI Lead/Architect,Birlasoft,8-13 Yrs,Not disclosed,"Noida, Mumbai, Pune, Bangalore/Bengaluru", Interested candidates please share your resume with geetanjalisatpathy@birlasoft.com al...,2 Days Ago
Java Developer,Infogain,4-9 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru, Mumbai (All Areas)", Must have developed / worked on micro services from start till endShould have experienc...,2 Days Ago
Urgent Hiring | .Net Developer,Infogain,6-8 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Must have good HTML5, Bootstrap, JavaScript, OOPs concept, ES6 Concepts Must have knowl...",2 Days Ago
Senior Engineer (Structures),Atkins,7-12 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Greetings for the day.Hope you are doing fine and safe.It is my pleasure to introduce m...,3 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core Ariba,Accenture,3-6 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru", Develop and expand SAP Ariba professional skills through continual learning and hands o...,3 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core Oracle - 11,Accenture,4-8 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru"," Practice: Supply Chain and Operations, Industry Consulting, Capability Network I Areas ...",4 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core Oracle - 06,Accenture,8-12 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru"," Practice: Supply Chain and Operations, Industry Consulting, Capability Network I Areas ...",4 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core S4 - 07,Accenture,9-14 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Business Strategist - Supply Chain FulfilmentFind endless opportunities to solve our cl...,4 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core Ariba - 09,Accenture,3-6 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru", Develop and expand SAP Ariba professional skills through continual learning and hands o...,4 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core S4 - 07,Accenture,9-14 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Business Strategist - Supply Chain FulfilmentFind endless opportunities to solve our cl...,4 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core Ariba - 07,Accenture,8-12 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru", Supply Chain Digital Strategy CoE |CoE | ARIBAFind endless opportunities to solve our c...,4 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core S4 - 09,Accenture,2-6 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Business Strategist - Supply Chain FulfilmentFind endless opportunities to solve our cl...,4 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core Oracle - 07,Accenture,8-12 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru", Supply Chain Digital Strategy CoE | Oracle | Senior Manager/Manager - Supply Chain Mana...,4 Days Ago
CN - Strategy - MC - SC&O - SC Digital Core IBP - 11,Accenture,4-8 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR", Foster good relationships with clients,5 Days Ago
Azure Data Factory Developer -ADF,Hexaware Technologies,4-7 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Preferred candidate profile . Bachelors or masters degree in computer science, engineer...",4 Days Ago
Rpa Project Manager UiPath,Wipro,10-15 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Shift Time - 2 or 3rd shift as client based out of US & CanadaCandidate must have handl...,2 Days Ago
Matillion and Snowflake Developer with Hexaware!!!,Hexaware Technologies,3-6 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Experience with cloud platform data warehouse technologies like Snowflake is a plusMini...,2 Days Ago
Oracle Atg Developer,Infogain,6-11 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Exp: 6 to 15 years Skills Required- Java + Oracle ATG / EndecaLocation- Bangalore / Mum...,1 Day Ago
SAP Basis,Capgemini,9-12 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"," Responsible for SAP installation, configuration, Should have project handling capabilit...",3 Days Ago
Hiring For SAP SuccessFactors,MRT Infotech,7-12 Yrs,12-19 Lacs PA,"Mumbai Suburban, Maharashtra, Pune, Maharashtra, Chennai, Bangalore/ Bengaluru, Karnataka", Shift Timings: CET. We are referring to three different areas of expertise within Succe...,3 Days Ago
Job Opportunity For AWS Datalake with Hexaware!!!,Hexaware Technologies,5-10 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Role & responsibilities Job Description: Primary focus is on AWS + Date Lake Developmen...,4 Days Ago
Assistant Manager,Info Edge,2-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Goalpokhar, West Bengal, Delhi / NCR, Mumbai (All Areas)"," The candidate should have the ability to analyze, compare, and interpret facts and figu...",5 Days Ago
CN - Comms & Media - Private Networks - Analyst,Accenture,1-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru"," Experience in use case identification, prioritization, and monetization for Private net...",7 Days Ago
Design Engineer,Schneider Electric,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Bachelor of Engineering - Mechanical Able to use design tools - AutoCAD, 3D Creo, Symph...",7 Days Ago
Fno Audiences - Manager - Paytm Money,Paytm,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Qualifications and Experience:Bachelors degree in Marketing, Business Administration, F...",7 Days Ago
SW Support Analyst,NCR Corporation,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Proven experience in scripting (batch, VB, PowerShell), common Retail SW architectures,...",8 Days Ago
Technical Consultant,Deloitte,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru", • Should have 3.6 -7 years of total IT experience.• Customizing seeded Oracle BIP and O...,9 Days Ago
Site Service Technical Manager - Gooty,Wabtec,2-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Provide leadership and technical guidance to Technicians and other teams engaged in mai...,8 Days Ago
Java Fullstack Developer,Atos,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor/ Masters Degree At least 5+ years of Work Experience in a similar role Skills ...,8 Days Ago
Spare Part Electrical Distribution Product Owner,Schneider Electric,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", This person should be . drive the clear value proposal of services fort the spare parts...,8 Days Ago
Senior Manager (L5) - VATS Operations (PV),Tata Motors Finance,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", BE / B Tech / ME / M Tech (Mechanical / Automobile) Relevant Experience : Bachelor Or M...,8 Days Ago
Senior Manager (L5) - TCF Maintenance,Tata Motors Finance,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", a.Why the positions exists b.What will happen if there is no one in the position (no on...,8 Days Ago
Senior Manager (L5) - Purchase,Tata Motors Finance,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Experience of Should Costing / Zero Based Costing Education . Work Experience Experienc...,8 Days Ago
Senior Manager - Vehicle Assembly Shop (TCF),Tata Motors Finance,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", This roles also required working on Other End of line facility such as :- Preferred Ind...,8 Days Ago
CAE Engineer,Tata Motors Finance,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", a.Why the positions exist b.What will happen if there is no one in the position (no one...,8 Days Ago
Technical Lead,NCR Corporation,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", and the ability to manipulate them as requiredWorking experience on any of the projects...,8 Days Ago
Senior Data Governance,Capco,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Extending and maintaining the Business Information Model (HBIM) based on business, indu...",8 Days Ago
BI Engineer,VMware,3-6 Yrs,Not disclosed,"Kalyani, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru"," Strong front end development experience preferably BO x version and above, Tableau, SAP...",8 Days Ago
CN - Comms & Media - FTTX - Manager,Accenture,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru", Across Levels - Comms & Media - NetworksJoin our team in Strategy consulting to find en...,9 Days Ago
IT Technologist,Medtronic,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Able to work independently as well as cooperatively . CISSP Certification . Typically p...,9 Days Ago
Associate WM Client Reference Data,BNP Paribas,1-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Work closely with internal customers to provide support to on-boarding of clients to th...,9 Days Ago
Cognizant_RedHat Linux OpenShift Maximo_PAN India,Cognizant,10-20 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Having a strong background in Linux administration, virtualization, networking, and sec...",9 Days Ago
Middle East English Professional,BYJUS,1-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Have a minimum of 1 year of English teaching experience (online or offline) or an Engli...,10 Days Ago
Professional FT - Plant Health,Tata Motors Finance,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Relevant Experience . 2- 5 years experience in relevant sector of Health / Mfg Skills,10 Days Ago
Executive BIW Maintenance,Tata Motors Finance,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Hands on experience of BIW Shop equipment such as Manual and Robotic IT Weld Guns (Tecn...,10 Days Ago
Sharepoint Developer/SPFx Developer,Cognizant,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Experience required 3 to 9 years. Pan India. Notice Period : 0- 60 Days,11 Days Ago
Sr. Manager - Design & Development - AMC & FMS - K Sharma,Tata Motors Finance,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor of Engineering in Mechanical Identifying IT and system related improvements re...,11 Days Ago
"Senior Manager (L5) - Project Manager - Web, Mobility & Portal",Tata Motors Finance,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . We are looking for a proficient manager in web and mobility systems with hands on exp...,11 Days Ago
Senior Manager - Territory Sales Manager - PV,Tata Motors Finance,2-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", BE / B Tech . MBA . To achieve the sales of passenger vehicles range in the assigned de...,11 Days Ago
Executive(L6) -Scheduling & Procurement,Tata Motors Finance,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . BE / B Tech in Mechanical or Automobile . Work Experience . Tata Motors Leadership Co...,11 Days Ago
F5 Engineer (F5 APM),Wipro,4-9 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Must have understanding of F5 Access Policy Manager (APM) Candidate should be able to c...,11 Days Ago
Principal Technical Engineer,Nokia,8-12 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Knowledge of Cloud Computing concepts and platforms such as Kubernetes, OpenShift, AWS,...",11 Days Ago
Manager - Quality (BPO),Sutherland,7-12 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," About - SutherlandEstablished in 1986, Sutherland Global Services is a global provider ...",12 Days Ago
Oracle Cloud SCM Functional Professional's - Max 60Days Notice Period,Deloitte,3-7 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Highest Qualification: Any BE / B Tech or Any Masters / PG. Work Location: Bengaluru / ...,12 Days Ago
Alfresco + Java Developer,Cognizant,7-12 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," 3+ years of experience in Alfresco, ECM technologies. Experience working on Alfresco Co...",12 Days Ago
Oracle Retail/Retek Functional Professional - Max 60Days Notice Period,Deloitte,3-6 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Highest Qualification: Any BE / B Tech or Any Masters / PG. Work Location: Bengaluru / ...,12 Days Ago
HCL TECH || .NET Architect Hiring,HCLTech,10-15 Yrs,15-25 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Hands on experience architecting projects in .NET / Microsoft/Legacy / Client-server te...,12 Days Ago
HCL TECH || Cloud Engineer Hiring,HCLTech,5-8 Yrs,12-22 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", * No infra profiles requiredKnowledge about core Azure services and how and when these ...,12 Days Ago
HCL TECH || Azure Architect Hiring,HCLTech,10-15 Yrs,15-27.5 Lacs PA,"Hybrid - Noida, Uttar Pradesh, Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/Bengaluru, Mumbai (All Areas)", Job Description15+ of overall IT experience with at least 5+ years as an architect5+ yr...,12 Days Ago
Associate,Ford,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", 1-3 years hands-on experience in using SAP Accounting. Good understanding of basic acco...,12 Days Ago
SAP ABAP - Cognizant Hiring!!!,Cognizant,5-8 Yrs,Not disclosed,"Hybrid - Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Dear Candidate, Greetings!!We have exclusive job opening for SAP ABAP!!!Experience: 5 -...",12 Days Ago
Oracle ASCP Functional consultant,Genpact,5-10 Yrs,9-19 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)", Minimum exposure of one full cycle implementationsShould have basic knowledge of SQL de...,12 Days Ago
SAP BW ABAP - Cognizant Hiring!!!,Cognizant,6-11 Yrs,Not disclosed,"Hybrid - Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Dear Candidate, Greetings!!We have exclusive job opening for SAP BW ABAP!!!Experience: ...",12 Days Ago
"Hiring For Python, AWS, API Developer",Tech Mahindra,4-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Hiring for Python, AWS, API DeveloperVacancies- 3Experience- 4-8 yearsLocation- Anywher...",13 Days Ago
Cognizant_Azure DevOps,Cognizant,9-14 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Role & responsibilities LSEG Azure Devops Architect JD:9-15 Years Strong architect leve...,13 Days Ago
Hiring For Solution Designer / Architect,Tech Mahindra,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Solution Designer / ArchitectExperience: 3 to 15 yearsLocation: Kolkata / Pune / Chenna...,13 Days Ago
Sap Fico Consultant( 2- 12 years ),Allegis Group,4-9 Yrs,Not disclosed,"Bhubaneswar, Odisha, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Looking for candidate with B Tech /BE/ MCA / MBA/M Tech /CA / ICWA Passout . Total Year...,10 Days Ago
Actimize SAM Developer,BNP Paribas,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," The work may involve development for data sourcing, maintenance and enhancement of the ...",14 Days Ago
Sr. Manager Utilities,Tata Motors Finance,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Work Experience,14 Days Ago
Sr. Manager- BIW Maintenance,Tata Motors Finance,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Experience : Minimum 5 Years of Industry experience-BIW Maintenance .,14 Days Ago
Senior Manager - SCM Warehousing,Tata Motors Finance,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . DME experience / BE,14 Days Ago
Senior Manager - Sales & Marketing,Tata Motors Finance,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Manage credit control and collection for further dispatches . Collection of required do...,14 Days Ago
Lead IPR,Tata Motors Finance,12-20 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Graduation in Engineering, Registered Patent Agent, LLB(Optional) Relevant Experience :...",14 Days Ago
BI Analyst (I),NCR Corporation,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor s Degree and 0-2 years of related experience . Ability to determine what data ...,15 Days Ago
CN - Health - Performance Improvement - Consultant,Accenture,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru"," Demonstrates good sales acumen, apply client knowledge, Accenture sales, opportunity ma...",12 Days Ago
CN - Health - Performance Improvement - Manager,Accenture,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru"," Demonstrates good sales acumen, apply client knowledge, Accenture sales, opportunity ma...",12 Days Ago
